"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"538",14,"Simi Fehoko",DAL,"WR181","7","1 out of 5 stars","-"
"539",14,"Geronimo Allison",DET,"WR182","9","1 out of 5 stars","-"
"540",14,"Kevin White",NO,"WR183","6","4 out of 5 stars","-"
"541",14,"John Hightower",PHI,"WR184","14","3 out of 5 stars","-"
"542",14,"Ray-Ray McCloud",PIT,"WR185","7","2 out of 5 stars","-"
"543",14,"Charlie Woerner",SF,"TE85","6","4 out of 5 stars","-"
"544",14,"Jonathan Ward",ARI,"RB151","12","3 out of 5 stars","-"
"545",14,"Malik Taylor",GB,"WR186","13","1 out of 5 stars","-"
"546",14,"J.J. Arcega-Whiteside",PHI,"WR187","14","3 out of 5 stars","-"
"547",14,"Luke Farrell",JAC,"TE86","7","4 out of 5 stars","-"
"548",14,"Ricky Seals-Jones",WAS,"TE87","9","3 out of 5 stars","-"
"549",14,"Tommy Sweeney",BUF,"TE88","7","2 out of 5 stars","-"
"550",14,"Chris Hogan",NO,"WR188","6","4 out of 5 stars","-"
"551",14,"Trey Ragas",LV,"RB152","8","2 out of 5 stars","-"
"552",14,"Justin Watson",TB,"WR189","9","2 out of 5 stars","-"
"553",14,"Jake Kumerow",BUF,"WR190","7","3 out of 5 stars","-"
"554",14,"Racey McMath",TEN,"WR191","13","3 out of 5 stars","-"
"555",14,"Noah Brown",DAL,"WR192","7","1 out of 5 stars","-"
"556",14,"Marquez Stevenson",BUF,"WR193","7","3 out of 5 stars","-"
"557",14,"Cade Johnson",SEA,"WR194","9","1 out of 5 stars","-"
"558",14,"Sage Surratt",DET,"WR195","9","1 out of 5 stars","-"
"559",15,"Garrett Gilbert",DAL,"QB49","7","2 out of 5 stars","-"
"560",15,"Ben Skowronek",LAR,"WR196","11","5 out of 5 stars","-"
"561",15,"Farrod Green",IND,"TE89","14","4 out of 5 stars","-"
"562",15,"Seth Williams",DEN,"WR197","11","4 out of 5 stars","-"
"563",15,"Jaeden Graham",ATL,"TE90","6","2 out of 5 stars","-"
"564",15,"Garrett Griffin",NO,"TE91","6","4 out of 5 stars","-"
"565",15,"Jacoby Brissett",MIA,"QB50","14","4 out of 5 stars","-115"
