"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"291",10,"Keke Coutee",HOU,"WR98","10","3 out of 5 stars","+32"
"292",10,"Kendrick Bourne",NE,"WR99","14","4 out of 5 stars","+97"
"293",10,"Preston Williams",MIA,"WR100","14","3 out of 5 stars","+101"
"294",10,"Quintez Cephus",DET,"WR101","9","1 out of 5 stars","+89"
"295",11,"Donovan Peoples-Jones",CLE,"WR102","13","1 out of 5 stars","-24"
"296",11,"Keelan Cole Sr.",NYJ,"WR103","6","4 out of 5 stars","+90"
"297",11,"Dallas Cowboys",DAL,"DST25","7","5 out of 5 stars","-33"
"298",11,"Dalton Schultz",DAL,"TE34","7","2 out of 5 stars","-7"
"299",11,"Zach Pascal",IND,"WR104","14","5 out of 5 stars","+88"
"300",11,"Ke'Shawn Vaughn",TB,"RB81","9","0 out of 5 stars","+70"
"301",11,"Deshaun Watson",HOU,"QB34","10","4 out of 5 stars","-128"
"302",11,"Graham Gano",NYG,"K24","10","2 out of 5 stars","-64"
"303",11,"DeeJay Dallas",SEA,"RB82","9","1 out of 5 stars","+64"
"304",11,"D'Wayne Eskridge",SEA,"WR105","9","1 out of 5 stars","+25"
"305",11,"Tyrod Taylor",HOU,"QB35","10","4 out of 5 stars","+23"
"306",11,"Mac Jones",NE,"QB36","14","5 out of 5 stars","-60"
"307",11,"Kyle Rudolph",NYG,"TE35","10","3 out of 5 stars","+136"
"308",11,"Pat Freiermuth",PIT,"TE36","7","5 out of 5 stars","-84"
"309",11,"Mo Alie-Cox",IND,"TE37","14","4 out of 5 stars","+21"
"310",11,"Drew Lock",DEN,"QB37","11","5 out of 5 stars","-8"
"311",11,"Carolina Panthers",CAR,"DST26","13","4 out of 5 stars","-66"
"312",11,"Jacksonville Jaguars",JAC,"DST27","7","2 out of 5 stars","-12"
"313",11,"N'Keal Harry",NE,"WR106","14","4 out of 5 stars","+89"
"314",11,"Jordan Akins",HOU,"TE38","10","4 out of 5 stars","-40"
"315",11,"Jalen Richard",LV,"RB83","8","2 out of 5 stars","+36"
"316",11,"Josh Palmer",LAC,"WR107","7","3 out of 5 stars","-55"
"317",11,"Tyron Johnson",LAC,"WR108","7","3 out of 5 stars","+93"
"318",11,"Travis Fulgham",PHI,"WR109","14","3 out of 5 stars","+42"
"319",11,"Kerryon Johnson",FA,"RB84","-","-","+59"
"320",11,"Rex Burkhead",HOU,"RB85","10","4 out of 5 stars","+125"
